,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
64,"

アジト 六本木（Ajito）
            
","
イタリアン、居酒屋、バル
","
東京都港区六本木4-5-2 六本木Uビル 2F






","

03-6804-5987

","￥3,000","￥3,999","
","

[月～日]ランチ 11:30～14:30  (L.O14:00)ディナー 17:30〜23:00 (L.O 22:30)ご連絡無しのキャンセルはキャンセル料を頂戴いたします。また多くのお客様にご利用して頂きたく、お座席は2時間制となっております。ご了承くださいませ。
日曜営業
",https://tabelog.com/tokyo/A1307/A130701/13127499/,六本木駅
65,"

生パスタ＆ワインバル ビアージョ WACCA池袋店（Viagio）
            
","
イタリアン、パスタ、バル
","
東京都豊島区東池袋1-8-1 WACCA池袋 5F






","

050-5570-8336

","￥3,000","￥3,999","
施設に準ずる
","

ランチ11:00～15:00(L.O.14:30)※お昼のパーティなど、外のパーティーもお気軽にご相談下さい。ディナー17:00～23:00(L.O.22:00、ドリンクL.O.22:30)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13258575/,池袋駅
66,"

青龍門 池袋店（セイリュウモン）
            
","
中華料理、台湾料理、居酒屋
","
東京都豊島区南池袋1-19-6 オリックス池袋ビル B1F






","

050-5869-7614

","￥3,000","￥3,999","
月曜日(月曜日が祝日の週は、火曜日定休)
","

☆ランチ　：11：30～15：30迄★ディナー：17：00～22：30迄  
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13004361/,池袋駅
67,"

野方 たん純

","
牛タン
","
東京都中野区野方6-24-10 野方ビル 1F






","

050-5590-4366

","￥3,000","￥3,999","
不定休（基本無休）　営業時間・","

【月～金】17:00～23:00(L.O.22:00)【土日祝】16:00～23:00(L.O.22:00)
日曜営業
",https://tabelog.com/tokyo/A1321/A132104/13241489/,野方駅
68,"

串かつ でんがな 町田店

","
串揚げ、居酒屋、ホルモン
","
東京都町田市原町田6-11-17 町田駅前ビル 1F






","

050-5590-0244

","￥1,000","￥1,999","
無し
","

[月～木]11:30～23:00(LO22:30)［金］11:30～23:30(LO23:00)［土］12:00～23:30(LO23:00)[日・祝]12:00～23:00(LO22:30)
日曜営業
",https://tabelog.com/tokyo/A1327/A132701/13187689/,町田駅
69,"

フランス料理 アッシュ

","
フレンチ
","
東京都世田谷区奥沢5-40-4 M's Garden自由が丘アネックス 1F






","

050-5890-7437

","￥6,000","￥7,999","翌日のランチはお休みです18:00～22:30（コースL.O.20:00　アラカルトL.O.21:00）※日曜日はコースのみのご提供のため20:00L.O.です※第1・第3火曜日はお休みです
日曜営業
","

［火～日］12:00～14:30（L.O.13:30)※",https://tabelog.com/tokyo/A1317/A131703/13269038/,自由が丘駅
70,"

こんごう庵 神保町店（こんごうあん）
            
","
そば、海鮮、居酒屋
","
東京都千代田区神田神保町1-18-1 千石屋ビル　１Ｆ






","

050-5593-4639

","￥4,000","￥4,999","
年末年始・夏季休業
","

 平日ランチ11:30~14:30(ラストオーダー14:00)ディナー17:00~23:00(ラストオーダー22:00 ドリンクラストオーダー22:30)土日祝日ランチ11:30~15:30(ラストオーダー15:00)ディナー17:00~21:00(ラストオーダー20:00 ドリンクラストオーダー20:30)
日曜営業
",https://tabelog.com/tokyo/A1310/A131003/13030009/,神保町駅
71,"

鮨 酒 肴 杉玉 小岩

","
寿司、居酒屋、海鮮
","
東京都江戸川区南小岩7-25-10 第1杉浦ビル 1F






","

050-5589-5818

","￥2,000","￥2,999","
なし
","

【月～金】17:00～23:00（LO 22:00）【土日祝】15:00～23:00（LO 22:00）
日曜営業
",https://tabelog.com/tokyo/A1312/A131204/13274527/,小岩駅
72,"

池袋酒場 情熱ホルモン

","
ホルモン、焼肉、もつ鍋
","
東京都豊島区西池袋1-33-1 






","

050-5868-7588

","￥3,000","￥3,999","
グランドメニュー、おススメメニューリニューアル！！■＜食べ放題コース＞“90分2480円～”新鮮なホルモンと人気のカルビ・ハラミ等の赤身肉を焼肉食べ放題で楽しめる■＜焼肉のお供に＞キンキンに冷えた生ビールが何杯飲んでも“1杯290円”
","

【】月〜木：17:00-23:30/金・祝前：17:00-翌5:00/土：11:30-翌5:00/日祝：11:30-23:30　(L.O.30分前)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13093369/,池袋駅
73,"

鶏丸（【旧店名】魚どり）
            
","
居酒屋、焼き鳥、豚しゃぶ
","
東京都新宿区新宿3-36-13 Mビル 2F






","

050-5872-3496

","￥2,000","￥2,999","
無休
","

11:30～15:00 16:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13206217/,新宿駅
74,"

トラットリア ペルバッコ（TRATTORIA PER BACCO）
            
","
イタリアン、ワインバー、ピザ
","
東京都港区南青山1-11-25 






","

050-5890-2552

","￥6,000","￥7,999","
月曜日 　　第二・第四火曜日
","

ランチ　：11:30 ～ 14:00 L.O.（土日のみ）ディナー：17:00 ～ 21:00 L.O.
日曜営業
",https://tabelog.com/tokyo/A1307/A130701/13258061/,青山一丁目駅
75,"

夜景個室肉バル×食べ放題 ヨルソラ 渋谷店（【旧店名】3時間飲み放題付 シュラスコとチーズ食べ放題 アモーレ 渋谷本店）
            
","
イタリアン、ダイニングバー、居酒屋
","
東京都渋谷区宇田川町28-1 高山ランド第15ビル 8F






","

050-5305-3767

","￥2,000","￥2,999","
無休
","

[月～木・日・祝] 17:00～翌2:00(料理L.O.翌2:00 ドリンクL.O.翌2:00) [金・土・祝前日] 17:00～翌4:00(料理L.O.翌4:00 ドリンクL.O.翌4:00)※お昼のご宴会、ご予約にて承ります。
",https://tabelog.com/tokyo/A1303/A130301/13198629/,渋谷駅
76,"

三代目 鳥メロ 外苑前スタジアム通り店

","
焼き鳥、居酒屋、もつ鍋
","
東京都港区北青山2-12-13 青山KYビル B1F






","

050-5872-3725

","￥2,000","￥2,999","
無休　
","

17:00〜23:00※3月中は17:00～23:00　　土日曜及び祝休日は22:00迄の営業とさせていただきます。
日曜営業
",https://tabelog.com/tokyo/A1306/A130603/13211118/,外苑前駅
77,"

炭焼き 銀座まつもと

","
ステーキ、ハンバーグ、ワインバー
","
東京都中央区銀座7-7-19 ニューセンタービル 2F






","

050-5890-3362

","￥4,000","￥4,999","
不定休
","

Lunch [月～日、祝]11:45 ～ 14:30 L.O ( 15:00 Close)Dinner [月～金]17:30 ～ 22:00 L.O ( 23:00 Close)[土]17:30 ～ 21:00 L.O ( 22:00 Close)日・祝はランチのみの営業とさせていただきます。
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13258683/,銀座駅
78,"

徳壽 （トクジュ）
            
","
焼肉、韓国料理、ステーキ
","
東京都港区新橋3-11-8 オーイズミ新橋第2ビル 1F






","

050-5570-4645

","￥6,000","￥7,999","
無 
","

■月～金11:30～15:00（L.O.14:30）17:00～22:30（L.O.22:00）■土・日・祝11:30～15:00（L.O.14:30）17:00～22:00（L.O.21:00）
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13001519/,新橋駅
79,"

こめの家 目黒店

","
居酒屋、日本酒バー、鍋
","
東京都品川区上大崎2-15-14 高木ビル B1F






","

050-5590-8962

","￥4,000","￥4,999","
年末、年始
","

[全日］ディナータイム　17:00～23:00
日曜営業
",https://tabelog.com/tokyo/A1316/A131601/13195799/,目黒駅
80,"

ブラカリイタリア料理店

","
イタリアン、パスタ、ワインバー
","
東京都台東区花川戸2-9-10 根津ビル 1F






","

050-5868-1267

","￥6,000","￥7,999","
月曜日
","

11:30〜14:0017:45〜21:30
日曜営業
",https://tabelog.com/tokyo/A1311/A131102/13250267/,浅草駅（東武・都営・メトロ）
81,"

トウキョウ サロナード カフェ ダブ（tokyo salonard cafe : dub）
            
","
カフェ、イタリアン、バル
","
東京都渋谷区道玄坂1-11-4 富士商事ビル 2F






","

050-5872-2124

","￥2,000","￥2,999","
無休
","

12:00～23:30L.O 22:30
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13007273/,渋谷駅
82,"

博多もつ鍋 たかしょう

","
居酒屋、もつ鍋、海鮮
","
東京都中央区日本橋箱崎町17-8 ノーベルコート箱崎 2F






","

050-5593-5948

","￥4,000","￥4,999","
日曜日・祝日
","

ランチ　【月～金】11:30～14:30(L.O. 14:15)ディナー【月～金】17:30～0:00(L.O. 23:00)ディナー【土・祝】17:00～23:00(L.O. 22:00)
",https://tabelog.com/tokyo/A1302/A130204/13033775/,水天宮前駅
83,"

サン・マキアージュ（Sans Maquillage）
            
","
フレンチ、ワインバー、ビストロ
","
東京都目黒区自由が丘2-16-19 






","

050-5590-7404

","￥10,000","￥14,999","
火曜日(不定休有り)
","

【水～月】 ランチ 12：00～14:00(土日祝は14:30)【水～月】 ディナー 18：00～21:00(最終入店19:00)※2023年4月1日より価格改定を行います
日曜営業
",https://tabelog.com/tokyo/A1317/A131703/13147401/,自由が丘駅
84,"

おでんと肉豆富料理 酒場ゴロー 神田駅前店

","
おでん、居酒屋、豆腐料理
","
東京都千代田区内神田3-13-9 ＹＫ神田ビル1・2F






","

050-5589-9224

","￥2,000","￥2,999","
月曜日
","

【火曜～金曜】17:00～23:30【土曜・日曜・祝日】15:00～23:00
日曜営業
",https://tabelog.com/tokyo/A1310/A131002/13214092/,神田駅
85,"

ザ モンキーチューズキッチン（THE MONKEY CHEWS KITCHEN）
            
","
ビストロ、バル
","
東京都大田区蒲田5-8-4 1F・2F






","

050-5570-1086

","￥4,000","￥4,999","
日曜日、第二・四月曜日ランチのみ祝日休み 臨時休業のお知らせはインスタグラムをご覧下さい。
","

昼【月～土】11:30～13:00閉店当店はディナーがメインの為ランチは数量限定・売切終了、予約不可。混雑時は小さなお子様連れはご遠慮下さい。夜【月～土】18:00〜23:00食事ラストオーダー22:00・ドリンクラストオーダー22:30アラカルトのみ。
",https://tabelog.com/tokyo/A1315/A131503/13166973/,蒲田駅
86,"

焼肉ホルモン フジビーフ

","
焼肉、ホルモン、韓国料理
","
東京都小金井市本町5-18-5 第55東京ビル B1F






","

050-5872-5462

","￥4,000","￥4,999","
12月31・1月1日
","

平日  17:00〜23；00土日祝　11；30〜23；00
日曜営業
",https://tabelog.com/tokyo/A1325/A132501/13042188/,武蔵小金井駅
87,"

カキ酒場 北海道厚岸 日本橋本店

","
居酒屋、海鮮、郷土料理
","
東京都中央区日本橋2-2-15 日本橋テイトビル B1F






","

03-5255-4220

","￥4,000","￥4,999","
日曜日・祝日。
","

[月～金]11:30～14:00（L.O.13:30）17:00～23:00 (LO 22:30)[土]17:00～23:00 (LO 22:30)
",https://tabelog.com/tokyo/A1302/A130202/13144578/,日本橋駅
88,"

熱中酒場 肴亭 田町店（サカナテイ）
            
","
居酒屋、ちゃんこ鍋、焼き鳥
","
東京都港区芝5-16-7 芝ビル B1F






","

050-5589-7475

","￥3,000","￥3,999","
なし
","

月~金　11:30~23:30(フードL.o 22:30,ドリンクL.o23:00)祝日、土日  14:00~23:00(フードL.o 22:00,ドリンクL.o22:30)
日曜営業
",https://tabelog.com/tokyo/A1314/A131402/13275654/,三田駅
89,"

オイスターバー GOSHIKI 立川北口店（ゴシキ）
            
","
バル、居酒屋、イタリアン
","
東京都立川市曙町2-7-19 モノリスビル　8Ｆ






","

050-5594-5280

","￥4,000","￥4,999","
","

[月～土]17:00～:24：00(L.O23：00)[日]",https://tabelog.com/tokyo/A1329/A132901/13033795/,立川北駅
90,"

どんたく 下北沢店

","
居酒屋、もつ鍋、日本料理
","
東京都世田谷区北沢2-33-12 1F






","

050-5456-2099

","￥3,000","￥3,999",：毎週月曜日※月曜祝日の場合、火曜日,"

金曜日　   18:00～26:00土曜日　   14:00～26:00日、祝日　14:00～25:00",https://tabelog.com/tokyo/A1318/A131802/13240317/,下北沢駅
91,"

フォンダ・デ・ラ・マドゥルガーダ（FONDA DE LA MADRUGADA）
            
","
メキシコ料理、居酒屋、スペイン料理
","
東京都渋谷区神宮前2-33-12 ヴィラ・ビアンカ　Ｂ１Ｆ






","

050-5869-0598

","￥6,000","￥7,999","
不定休　※1/1のみ
","

【Dinner】［日〜木］16:00〜23:30（フードL.O22:00/ドリンクL.O22:30）［金・土］16:00〜26:00（フードL.O23:00/ドリンクL.O25:30）※状況により等が記載と異なる場合がございます。ご来店時は事前に店舗にご確認ください。
日曜営業
",https://tabelog.com/tokyo/A1306/A130601/13004395/,原宿駅
92,"

全席完全個室居酒屋 無制限飲み放題 澪 吉祥寺店（【旧店名】稜夏）
            
","
居酒屋、肉バル、日本料理
","
東京都武蔵野市吉祥寺本町1-8-2 北辰吉祥寺ビル西館 3F






","

050-5457-8662

","￥3,000","￥3,999","
無休
","

16:00～02:00 ※昼宴会等、外のご予約も承ります。お気軽にお電話下さい。
日曜営業
",https://tabelog.com/tokyo/A1320/A132001/13208861/,吉祥寺駅
93,"

炭火焼肉・韓国料理 KollaBo 恵比寿新店（コラボ）
            
","
焼肉、韓国料理、居酒屋
","
東京都渋谷区恵比寿西1-9-7 グランベル恵比寿WESTビル 2F






","

050-5592-1519

","￥3,000","￥3,999","
不","

平日【Lunch】11:30 ~ 15:30 (LO 15:00)【Dinner】 17:00 ~ 22:30 (LO 21:45)土日祝【Lunch】11:30 ~ 15:30（LO 15:00）【Dinner】15:30 ~ 22:30（LO 21:45）
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13195839/,恵比寿駅
94,"

ニュー松坂 六本木店

","
鉄板焼き、ステーキ、ワインバー
","
東京都港区六本木6-2-6 GEMS六本木 7F






","

050-5890-6819

","￥15,000","￥19,999","
不定休　※ビルに準ずる
","

Lunch　 11：00～15：00（L.O.14:00）Ｄinner　17：00～23：00（L.O.22:00）
日曜営業
",https://tabelog.com/tokyo/A1307/A130701/13260250/,六本木駅
95,"

One Heart（ワンハート）
            
","
ダイニングバー、ワインバー、フレンチ
","
東京都中央区日本橋茅場町2-3-3 ホンカビル 本館 1F






","

050-5571-5815

","￥4,000","￥4,999","
日・祝は予約営業
","

ランチ 月～金 11:00～13:30 ディナー 月～金　17:00～22:00　　　　　　土日祝日　予約営業のみ　16:00～21:00
",https://tabelog.com/tokyo/A1302/A130203/13130205/,茅場町駅
96,"

虎の穴ホルモン 恵比寿横丁店

","
焼肉、ホルモン
","
東京都渋谷区恵比寿1-7-2 






","

050-5570-1302

","￥6,000","￥7,999","
日、月曜休　月曜が祝日の場合、月、火曜休
","

[火～土]17：00～翌6：00（L.O5：30）
",https://tabelog.com/tokyo/A1303/A130302/13261281/,恵比寿駅
97,"

鮨まつもと 御茶ノ水

","
寿司、海鮮、日本料理
","
東京都千代田区神田駿河台2-6-11 第87東京ビル 4F






","

050-5872-2851

","￥8,000","￥9,999","
無
","

ランチ    12:00~14:00ディナー 17:00~23:00（土日祝 16:00～23:00）
日曜営業
",https://tabelog.com/tokyo/A1310/A131002/13254498/,御茶ノ水駅
